Marca_Modelo,Precio,Km,Transmision,Combustible,URL,Anio,Marca,Modelo
Mitsubishi L200 2023,24000,11200,Mecánica,Diesel,https://neoauto.com/auto/usado/mitsubishi-l200-2023-1848943,2023,Mitsubishi,L200
Nissan Qashqai 2015,15500,83000,Automática,Gasolina,https://neoauto.com/auto/usado/nissan-qashqai-2015-1863429,2015,Nissan,Qashqai
Hyundai Grand I10 2016,10500,55000,Automática,Gasolina,https://neoauto.com/auto/usado/hyundai-grand-i10-2016-1863640,2016,Hyundai,Grand I10
Bmw X3 30i 2024,52990,12800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x3-30i-2024-1859128,2024,Bmw,X3 30i
Ford Ecosport 2014,12900,87781,Mecánica,Gasolina,https://neoauto.com/auto/usado/ford-ecosport-2014-1862214,2014,Ford,Ecosport
Bmw 520-I 2014,15000,90000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-520-i-2014-1834055,2014,Bmw,520-I
Subaru Forester 2024,33000,19000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2024-1790840,2024,Subaru,Forester
Volkswagen Tiguan Allspace 2020,24500,101000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volkswagen-tiguan-allspace-2020-1861570,2020,Volkswagen,Tiguan Allspace
Ram 1000 2024,22800,17000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/ram-1000-2024-1863616,2024,Ram,1000
Mazda Cx-5 2025,33500,14500,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2025-1856179,2025,Mazda,Cx-5
Renault Fluence 2012,8700,29700,Mecánica,Gasolina,https://neoauto.com/auto/usado/renault-fluence-2012-1862657,2012,Renault,Fluence
Bmw X1 18i 2018,20900,64300,Automática,Gasolina,https://neoauto.com/auto/usado/bmw-x1-18i-2018-1857962,2018,Bmw,X1 18i
Bmw 535igt 2013,15000,95000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-535igt-2013-1862938,2013,Bmw,535igt
Volkswagen Jetta 2021,16500,55500,Mecánica,Gasolina,https://neoauto.com/auto/usado/volkswagen-jetta-2021-1670394,2021,Volkswagen,Jetta
Subaru Forester 2024,38500,11800,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-forester-2024-1861890,2024,Subaru,Forester
Bmw X5 40i 2023,63600,37000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-x5-40i-2023-1856137,2023,Bmw,X5 40i
Mitsubishi Montero Sport 2019,33500,49560,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mitsubishi-montero-sport-2019-1791996,2019,Mitsubishi,Montero Sport
Audi Q2 2024,27800,12300,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q2-2024-1860438,2024,Audi,Q2
Haval Jolion 2023,18600,26000,Automática - Secuencial,Gas GLP,https://neoauto.com/auto/usado/haval-jolion-2023-1855478,2023,Haval,Jolion
Mazda Cx-9 2019,26500,66000,Automática,Gasolina,https://neoauto.com/auto/usado/mazda-cx-9-2019-1856038,2019,Mazda,Cx-9
Bmw 118i 2019,17800,52000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/bmw-118i-2019-1852366,2019,Bmw,118i
Mercedes Benz A 200 2023,33900,13604,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-a-200-2023-1858441,2023,Mercedes,Benz A 200
Land Rover Discovery Sport 2018,23500,75000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/land-rover-discovery-sport-2018-1855269,2018,Land,Rover Discovery Sport
Audi Q7 2018,31500,112000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q7-2018-1860606,2018,Audi,Q7
Mercedes Benz S 500 Coupe 4matic 2015,49000,63000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-s-500-coupe-4matic-2015-1859103,2015,Mercedes,Benz S 500 Coupe 4matic
Subaru Evoltis 2024,47500,10700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/subaru-evoltis-2024-1861885,2024,Subaru,Evoltis
Volvo Xc-90 2018,30700,99700,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-90-2018-1862740,2018,Volvo,Xc-90
Seat Leon Fr 2012,10499,105000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/seat-leon-fr-2012-1858940,2012,Seat,Leon Fr
Mazda Cx-5 2019,19500,88500,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-cx-5-2019-1851857,2019,Mazda,Cx-5
Renault Duster 2015,9000,108000,Automática - Secuencial,Dual,https://neoauto.com/auto/usado/renault-duster-2015-1863244,2015,Renault,Duster
Nissan Pathfinder 2015,15000,175000,Automática,Gasolina,https://neoauto.com/auto/usado/nissan-pathfinder-2015-1845100,2015,Nissan,Pathfinder
Mitsubishi Nativa 2011,14000,125000,Mecánica,Gasolina,https://neoauto.com/auto/usado/mitsubishi-nativa-2011-1856580,2011,Mitsubishi,Nativa
Mitsubishi Asx 2018,16000,62500,Automática,Gasolina,https://neoauto.com/auto/usado/mitsubishi-asx-2018-1854168,2018,Mitsubishi,Asx
Volvo Xc-60 2023,47000,28000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/volvo-xc-60-2023-1848104,2023,Volvo,Xc-60
Peugeot 2008 2022,15590,53900,Mecánica,Gasolina,https://neoauto.com/auto/usado/peugeot-2008-2022-1851158,2022,Peugeot,2008
Mercedes Benz Glc 200 2020,35000,55000,Automática,Gasolina,https://neoauto.com/auto/usado/mercedes-benz-glc-200-2020-1863597,2020,Mercedes,Benz Glc 200
Citroen C5 Aircross 2020,18900,50000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/citroen-c5-aircross-2020-1863620,2020,Citroen,C5 Aircross
Mazda 6 2009,8800,160000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/mazda-6-2009-1854938,2009,Mazda,6
Toyota Avensis 2013,10500,97000,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-avensis-2013-1858609,2013,Toyota,Avensis
Subaru Impreza 2016,10500,96000,Mecánica,Gasolina,https://neoauto.com/auto/usado/subaru-impreza-2016-1860134,2016,Subaru,Impreza
Toyota Corolla Cross 2023,20199,61000,Automática,Gasolina,https://neoauto.com/auto/usado/toyota-corolla-cross-2023-1856850,2023,Toyota,Corolla Cross
Toyota Yaris 2019,14000,80000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/toyota-yaris-2019-1858454,2019,Toyota,Yaris
Audi A4 2017,21000,41000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a4-2017-1851516,2017,Audi,A4
Audi A3 Sedan 2016,15600,86000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-a3-sedan-2016-1861062,2016,Audi,A3 Sedan
Audi Q3 2018,21500,52000,Automática - Secuencial,Gasolina,https://neoauto.com/auto/usado/audi-q3-2018-1851510,2018,Audi,Q3
Suzuki Apv 2014,7200,240700,Mecánica,Gasolina,https://neoauto.com/auto/usado/suzuki-apv-2014-1852807,2014,Suzuki,Apv
